  ,Name of Company,Holding Value in crores,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021
Mukul Agrawal,Capacit'e Infraprojects Ltd.,163,7.8%,8.0%,4.3%,1.9%,-,-,-,-,-
Mukul Agrawal,MITCON Consultancy & Engineering Services Ltd.,5,2.9%,3.1%,4.3%,4.4%,5.0%,-,5.6%,5.6%,5.6%
Mukul Agrawal,JTEKT India Ltd.,51,1.3%,1.6%,1.6%,1.6%,1.6%,1.5%,1.3%,1.3%,1.3%
Mukul Agrawal,Hindware Home Innovation Ltd.,32,1.1%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%
Mukul Agrawal,Dish TV India Ltd.,42,1.1%,1.6%,1.6%,1.6%,1.6%,1.4%,-,-,-
Mukul Agrawal,Arman Financial Services Ltd.,82,4.1%,4.6%,4.7%,4.7%,4.7%,4.7%,4.8%,5.1%,5.1%
Mukul Agrawal,Dhabriya Polywood Ltd.,12,3.9%,4.7%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%
Mukul Agrawal,De Nora India Ltd.,-,-,1.9%,1.9%,1.4%,-,-,-,-,-
Mukul Agrawal,Jagsonpal Pharmaceuticals Ltd.,-,-,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,-,-
Mukul Agrawal,Bhagiradha Chemicals & Industries Ltd.,-,-,2.9%,3.4%,3.8%,3.8%,-,-,-,-
Mukul Agrawal,Allcargo Terminals Ltd.,-,-,1.3%,-,-,-,-,-,-,-
Mukul Agrawal,Allcargo Logistics Ltd.,29,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,-,1.3%,-
Mukul Agrawal,Ceat Ltd.,145,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,-,-,-
Mukul Agrawal,LT Foods Ltd.,71,1.2%,1.2%,1.2%,1.2%,1.3%,1.7%,1.7%,1.7%,1.7%
Mukul Agrawal,Kingfa Science & Technology (India) Ltd.,57,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%
Mukul Agrawal,Indo Count Industries Ltd.,76,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.1%,1.1%,1.1%
Mukul Agrawal,Indian Metals & Ferro Alloys Ltd.,49,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.9%,1.9%
Mukul Agrawal,ISMT Ltd.,37,1.3%,1.3%,1.3%,1.3%,-,-,-,-,-
Mukul Agrawal,J Kumar Infraprojects Ltd.,129,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,2.8%,2.8%
Mukul Agrawal,Karur Vysya Bank Ltd.,159,1.1%,1.1%,-,1.1%,1.1%,1.3%,1.3%,1.3%,-
